/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 175, col 28, This character may get silently deleted by one or more browsers.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 181, col 49, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 215, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 216, col 14, This character may get silently deleted by one or more browsers.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 232, col 11, Expected a 'break' statement before 'case'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 235, col 11, Unreachable 'break' after 'return'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 243, col 11, Unreachable 'break' after 'return'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 258, col 14, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 258, col 14, Too many errors. (50% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 46, col 18, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 86, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 96, col 19, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 43, col 21, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 43, col 35, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 209, col 55, 'location' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 257, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/treeview.js: line 170, col 32, 'binary' is defined but never used.

8 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 133, col 18, Creating global 'for' variable. Should be 'for (var addedStyle ...'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 183, col 61, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 249, col 30, 'self' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 14, col 50, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 116, col 26, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 123, col 20, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 134, col 23, 'addedStyle' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 134, col 49, 'addedStyle' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 152, col 13, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 154, col 28, 'location' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 182, col 24, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 240, col 30, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 243, col 21, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 248, col 36, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 248, col 76, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 250, col 21, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/clipboard.js: line 306, col 21, 'window' is not defined.

17 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 33, col 36, '$submitElement' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 36, col 13, '$submitElement' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 111, col 47, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 134, col 24, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 190, col 42, Use '===' to compare with 'true'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 208, col 16, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 318, col 45, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 394, col 23, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 411, col 42, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 421, col 25, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 609, col 20, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 609, col 43, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/encrypt.js: line 631, col 20, Use '!==' to compare with '0'.
